Year,Average Parts Per Set
1999,101.57396449704142
2000,98.88493150684931
2001,97.79057591623037
2002,102.54648956356736
2003,148.63066954643628
2004,126.34396355353076
2005,175.57289002557545
2006,221.65243902439025
2007,227.92537313432837
2025,No Sets Found
beans,Invalid Year Value
